mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
197494,1,1,-1,-1,1,-1,1,-1,X,-1,-1,X
197495,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1
197496,1,X,-1,-1,1,-1,1,-1,X,-1,-1,X
197497,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197498,1,1,-1,-1,1,-1,1,-1,1,0,-1,1
197499,1,1,,,,,,,,,,
197500,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
97236,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
197501,0,-1,1,1,-1,1,-1,1,0,1,-1,X
197502,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197503,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197504,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
197505,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197506,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197507,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
197508,1,1,-1,1,1,-1,1,-1,1,,,
197510,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197511,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197512,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197513,1,-1,X,X,X,0,1,1,1,-1,-1,-1
197514,1,-1,1,1,-1,-1,1,1,1,-1,-1,X
197515,1,-1,1,1,1,-1,1,1,0,-1,-1,-1
197516,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197517,1,-1,1,1,-1,X,X,X,1,X,X,-1
197518,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197519,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197520,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1
197521,1,1,,,,,,,,,,
197522,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1
197523,1,1,-1,-1,1,-1,1,-1,1,0,-1,X
118949,1,-1,1,1,-1,-1,-1,1,1,-1,0,-1
197525,1,-1,1,1,-1,-1,1,1,1,-1,-1,X
197526,1,-1,1,1,-1,-1,-1,1,1,-1,0,-1
197527,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197528,1,-1,1,1,-1,-1,-1,1,1,-1,X,-1
197529,1,X,-1,-1,1,-1,1,-1,1,1,-1,1
197530,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1
197531,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1
197532,1,-1,1,1,-1,1,-1,1,0,1,-1,-1
197533,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
197534,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
197535,1,X,-1,1,1,,,,,,,
197536,1,-1,0,1,1,-1,-1,1,1,-1,-1,-1
197537,0,-1,1,1,1,1,-1,1,0,-1,1,-1
197538,0,-1,X,X,X,1,-1,1,0,1,-1,-1
197539,1,1,-1,-1,1,-1,1,-1,1,-1,0,1
197540,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1
197541,0,-1,X,X,X,1,-1,1,0,1,-1,-1
197542,X,X,1,1,1,-1,1,-1,1,-1,-1,X
197543,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197544,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197545,0,-1,1,1,-1,1,-1,1,0,1,-1,X
197546,1,1,-1,-1,1,-1,1,-1,1,-1,0,1
197547,1,X,-1,-1,1,-1,1,1,1,X,X,-1
197548,X,-1,1,1,-1,-1,1,1,,,,
197549,1,1,-1,-1,1,-1,1,-1,1,-1,0,1
197550,1,1,-1,-1,1,-1,1,-1,X,1,-1,1
197551,X,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197552,0,-1,1,1,-1,1,-1,1,0,-1,1,-1
197553,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197554,1,1,,,,,,,,,,
197555,-1,1,,,,,,,,,,
197556,1,-1,1,1,-1,1,-1,X,1,-1,1,-1
197557,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197558,-1,1,1,1,1,-1,1,X,1,-1,-1,-1
197559,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1
197563,X,1,1,-1,-1,-1,1,-1,1,-1,-1,-1
197564,1,1,1,1,-1,1,-1,-1,1,1,-1,-1
101585,1,1,-1,-1,1,-1,1,-1,1,-1,1,X
197566,0,1,1,1,-1,1,-1,1,0,-1,-1,-1
197567,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
135511,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197570,-1,0,,,,,,,,,,
197571,1,1,-1,-1,1,-1,1,-1,X,1,-1,1
197572,0,-1,1,1,-1,1,-1,1,0,1,-1,X
197573,1,1,-1,-1,1,X,X,X,X,0,0,X
197574,1,X,-1,-1,1,-1,1,-1,1,1,-1,1
27714,-1,-1,1,1,-1,1,-1,1,1,0,-1,-1
197576,1,1,-1,-1,1,X,X,X,X,-1,-1,-1
197577,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197578,1,-1,1,1,-1,1,0,X,1,-1,1,-1
197579,1,1,X,X,X,X,X,X,1,1,-1,-1
197580,1,-1,1,1,-1,1,0,1,X,-1,1,-1
197581,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197582,1,-1,1,1,-1,X,X,X,X,-1,1,-1
126644,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197584,1,1,X,X,X,-1,1,1,1,-1,-1,-1
197585,X,1,-1,-1,1,X,X,X,1,-1,-1,-1
197586,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197587,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197588,1,1,X,X,X,-1,1,-1,1,1,-1,-1
99283,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197589,1,1,-1,-1,1,-1,1,X,1,-1,-1,-1
35016,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197590,1,1,-1,-1,1,-1,1,-1,1,-1,-1,0
197591,1,1,-1,-1,1,-1,1,-1,1,-1,-1,0
197592,1,1,,,,,,,,,,
197593,1,1,X,X,X,,,,,,,
197594,1,0,,,,,,,,,,
197595,X,1,-1,-1,1,X,X,X,1,1,-1,X
131580,1,1,1,1,-1,1,1,X,X,X,X,-1
197596,0,0,1,1,-1,1,-1,1,0,-1,1,X
197597,1,1,,,,,,,,,,
197599,X,-1,,,,,,,,,,
197600,1,1,,,,,,,,,,
197601,0,-1,,,,,,,,,,
197602,1,1,,,,,,,,,,
197603,0,-1,,,,,,,,,,
197604,1,1,,,,,,,,,,
197606,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
197607,1,-1,1,1,-1,1,-1,1,1,-1,1,-1
197608,1,-1,1,1,-1,1,0,X,1,-1,1,X
101039,1,-1,1,1,-1,1,0,1,1,X,X,X
197610,1,-1,1,1,-1,1,0,1,1,-1,1,X
197611,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197612,0,X,,,,,,,,,,
197613,1,1,,,,,,,,,,
197614,1,-1,,,,,,,,,,
197615,1,1,X,X,X,X,X,X,X,-1,-1,-1
197616,1,-1,1,1,-1,1,0,X,1,-1,1,X
197617,1,1,,,,,,,,,,
197618,1,1,-1,-1,1,-1,1,X,1,-1,-1,X
197619,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
197620,1,-1,,,,,,,,,,
197621,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197623,1,1,1,1,-1,1,1,1,1,-1,1,-1
197624,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197625,1,1,,,,,,,,,,
197626,1,1,-1,1,1,1,1,-1,1,1,-1,1
197627,1,1,1,1,-1,1,1,1,1,-1,1,-1
197628,1,1,1,1,-1,1,1,1,1,-1,1,-1
94649,1,1,1,1,-1,1,1,1,1,-1,1,-1
197629,X,1,X,X,X,1,-1,1,X,-1,1,-1
197631,1,1,-1,-1,0,-1,1,-1,1,-1,-1,-1
197632,1,1,-1,-1,1,X,X,X,1,-1,-1,1
197634,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197635,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197636,1,-1,1,1,-1,1,1,1,X,-1,X,-1
197637,X,-1,1,1,-1,1,1,1,1,-1,-1,X
197638,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
30490,1,1,,,,,,,,,,
197641,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197642,X,X,,,,,,,,,,
197643,0,-1,,,,,,,,,,
197644,1,1,,,,,,,,,,
197645,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197646,1,-1,1,1,-1,1,1,1,1,-1,-1,X
197647,1,-1,1,1,-1,-1,1,1,X,-1,-1,-1
197648,0,-1,1,1,-1,-1,1,1,1,0,-1,-1
197649,1,-1,1,1,-1,1,X,X,1,-1,X,X
197650,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197651,1,1,0,1,X,X,1,0,X,-1,1,X
197652,0,-1,1,1,-1,-1,-1,X,0,0,X,-1
197653,1,1,X,X,X,-1,1,-1,1,0,-1,X
197654,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197655,1,1,1,1,-1,1,-1,-1,0,1,X,-1
197656,0,-1,1,1,-1,,,,,,,
197657,1,1,X,X,X,-1,1,-1,1,1,-1,-1
197658,1,1,X,X,X,-1,1,-1,1,0,-1,X
197661,1,1,,,,,,,,,,
197662,1,X,1,1,-1,-1,1,1,1,X,X,-1
197663,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197664,1,X,,,,,,,,,,
197665,1,1,-1,-1,1,-1,1,X,1,-1,-1,-1
58766,1,1,-1,-1,1,-1,1,X,1,1,-1,X
197667,0,-1,1,1,-1,-1,1,1,X,X,X,-1
197668,X,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
134605,1,1,-1,-1,1,-1,1,-1,1,-1,X,-1
197670,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197671,1,X,1,1,-1,1,1,1,1,X,X,-1
197672,1,X,1,1,-1,-1,1,1,X,-1,-1,X
98582,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1
197675,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197677,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197678,1,1,,,,,,,,,,
197679,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197680,1,1,1,1,-1,1,1,1,1,-1,1,-1
197681,1,1,-1,-1,1,,,,,,,
197682,1,1,-1,-1,1,-1,1,-1,1,X,X,1
197683,1,X,X,X,X,X,X,X,1,X,X,X
197684,1,1,,,,,,,,,,
197686,1,X,,,,,,,,,,
197687,1,1,1,1,-1,1,1,1,1,-1,1,-1
182995,1,1,1,1,-1,X,X,X,1,-1,X,-1
197690,1,1,1,1,-1,1,1,1,X,-1,1,-1
197691,1,1,1,1,-1,1,1,1,X,-1,1,-1
197692,1,1,X,X,X,-1,1,X,X,-1,-1,-1
197693,1,1,,,,,,,,,,
197694,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
197695,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197696,1,X,,,,,,,,,,
197697,1,X,-1,-1,1,-1,1,-1,1,X,X,1
197698,1,1,-1,-1,1,-1,1,-1,1,0,-1,1
197699,1,1,-1,-1,1,-1,1,X,1,1,-1,-1
197700,1,1,,,,,,,,,,
197701,1,1,-1,-1,1,-1,1,-1,1,1,-1,X
197702,1,1,X,X,X,-1,1,-1,1,-1,1,-1
197703,0,X,,,,,,,,,,
197704,0,-1,,,,,,,,,,
197705,0,-1,,,,,,,,,,
197708,X,-1,,,,,,,,,,
197709,0,-1,1,1,-1,1,1,1,X,-1,1,-1
197710,1,1,,,,,,,,,,
197711,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,X
197712,0,-1,,,,,,,,,,
99461,0,-1,,,,,,,,,,
197714,1,1,,,,,,,,,,
197715,0,-1,,,,,,,,,,
197716,1,1,,,,,,,,,,
197717,1,1,-1,-1,1,-1,1,1,1,-1,1,X
197718,1,1,-1,-1,1,-1,1,X,1,X,X,1
197719,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197720,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
197721,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197722,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197728,1,X,-1,-1,1,-1,1,-1,1,-1,1,-1
197730,1,1,,,,,,,,,,
197731,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197732,1,1,,,,,,,,,,
197733,0,-1,,,,,,,,,,
197734,1,0,-1,0,-1,X,0,X,-1,1,-1,X
197735,1,1,X,X,X,,,,,,,
197736,0,X,,,,,,,,,,
197737,1,-1,X,X,X,X,X,X,X,X,X,X
197738,1,-1,1,1,-1,-1,1,1,X,-1,-1,-1
197739,1,1,,,,,,,,,,
122978,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197740,1,-1,0,1,-1,1,1,-1,1,1,-1,-1
197742,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197743,1,1,-1,-1,1,X,X,X,X,1,-1,X
197744,0,-1,,,,,,,,,,
127096,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197746,1,-1,,,,,,,,,,
197749,1,1,,,,,,,,,,
88715,X,1,-1,-1,1,-1,1,-1,1,1,-1,-1
197751,1,0,,,,,,,,,,
197752,0,X,,,,,,,,,,
197754,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
197755,1,1,,,,,,,,,,
197756,1,1,-1,-1,1,-1,1,X,X,-1,-1,1
197757,0,-1,,,,,,,,,,
197758,1,1,,,,,,,,,,
197759,0,X,,,,,,,,,,
197760,0,-1,,,,,,,,,,
197761,1,1,,,,,,,,,,
34578,1,1,-1,1,1,-1,1,X,1,0,-1,1
197763,1,1,X,1,-1,1,0,1,0,1,-1,-1
197764,1,1,1,1,-1,1,-1,1,1,1,X,X
197765,1,-1,1,1,-1,-1,1,X,1,0,-1,-1
197766,1,-1,-1,-1,1,-1,1,-1,1,1,-1,1
197767,0,-1,1,1,-1,0,0,1,0,-1,1,-1
103746,1,1,-1,-1,1,,,,,,,
197769,1,-1,-1,-1,1,-1,1,-1,1,1,-1,X
197770,1,1,-1,-1,1,-1,1,-1,X,1,-1,1
197771,1,-1,-1,1,1,-1,1,0,1,-1,0,-1
197772,1,1,-1,-1,1,-1,1,X,1,1,-1,1
197773,0,-1,1,1,-1,1,1,1,1,-1,1,-1
197776,X,-1,1,1,-1,1,1,1,0,X,X,-1
197777,1,-1,1,1,-1,-1,1,1,1,X,X,-1
197778,1,-1,1,1,-1,-1,1,X,1,-1,1,-1
197779,1,1,1,1,-1,-1,1,X,1,-1,-1,-1
197780,,,1,1,-1,-1,1,1,1,-1,X,X
197781,1,1,1,1,-1,X,X,X,1,-1,-1,-1
197782,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
197783,X,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197784,1,1,-1,-1,0,-1,1,-1,1,-1,-1,X
197785,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197786,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197787,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197788,1,-1,1,1,-1,1,0,1,X,-1,1,X
130256,0,X,1,1,-1,-1,1,1,1,-1,-1,-1
197789,1,-1,,,,,,,,,,
197790,1,-1,,,,,,,,,,
197791,1,1,-1,-1,1,-1,1,X,1,1,-1,X
197792,1,X,-1,-1,1,-1,1,X,1,-1,1,-1
197794,1,1,1,1,-1,1,-1,X,1,-1,1,-1
197795,1,1,-1,-1,1,-1,1,-1,X,1,-1,X
197796,1,-1,X,X,X,1,0,1,X,X,X,-1
197797,1,-1,,,,,,,,,,
197798,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197799,1,-1,1,1,-1,1,0,1,1,-1,1,-1
197800,1,X,1,-1,1,-1,1,-1,1,1,-1,-1
197801,1,1,-1,-1,1,X,X,X,1,X,X,-1
197802,1,1,-1,-1,1,-1,1,X,X,0,-1,1
197803,X,0,,,,,,,,,,
197804,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197805,X,1,-1,-1,1,-1,1,-1,1,X,X,1
197806,1,-1,1,1,-1,X,X,X,X,-1,1,-1
197807,0,0,,,,,,,,,,
197808,1,1,-1,-1,1,-1,1,-1,1,-1,-1,X
197809,0,X,,,,,,,,,,
197810,X,1,-1,-1,1,-1,1,-1,1,X,X,1
197811,1,1,,,,,,,,,,
197812,X,1,,,,,,,,,,
197813,0,-1,,,,,,,,,,
197814,0,-1,,,,,,,,,,
197815,1,1,,,,,,,,,,
197816,1,X,,,,,,,,,,
197817,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197818,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197819,1,1,X,X,X,-1,1,-1,1,1,-1,X
197820,1,-1,1,1,-1,1,-1,1,1,-1,1,X
197822,1,-1,1,1,-1,0,1,X,X,-1,1,X
197824,0,-1,1,1,-1,1,-1,X,X,-1,1,X
197825,1,-1,1,1,-1,1,-1,1,1,-1,1,X
197826,1,-1,1,1,-1,1,0,1,1,X,X,-1
197827,1,1,-1,-1,1,-1,1,-1,1,1,-1,0
197828,X,X,-1,-1,1,-1,1,X,1,1,-1,1
197829,0,-1,1,1,-1,1,-1,1,0,1,1,-1
197831,1,-1,1,1,-1,1,-1,1,X,-1,1,X
197832,X,1,-1,-1,1,-1,1,-1,1,1,-1,0
197835,1,-1,1,1,1,-1,1,1,1,-1,-1,0
197836,0,-1,1,1,-1,-1,1,1,0,0,0,-1
197837,1,1,X,X,X,-1,1,X,X,1,-1,0
197838,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197839,1,1,1,1,1,-1,1,X,1,0,0,-1
197840,1,X,1,1,-1,-1,1,1,1,-1,-1,-1
197841,1,-1,1,1,0,-1,1,1,1,-1,-1,-1
197842,1,1,X,X,X,-1,1,X,X,-1,-1,X
197843,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
197844,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
197845,1,1,-1,-1,1,-1,1,X,1,1,-1,X
197846,1,1,X,X,X,-1,1,-1,1,1,-1,-1
197848,-1,1,1,1,0,-1,1,-1,1,0,1,-1
197849,1,-1,X,X,X,1,-1,1,1,1,-1,X
197863,1,-1,-1,-1,1,-1,1,1,1,-1,-1,X
185771,1,0,1,1,-1,1,-1,1,1,-1,1,-1
197868,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
197869,1,1,,,,,,,,,,
197870,1,1,-1,-1,1,-1,1,X,1,1,-1,1
197889,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197894,-1,X,1,1,-1,1,-1,X,1,0,-1,X
197935,0,1,1,1,-1,0,-1,1,1,1,-1,1
198063,1,1,1,1,-1,0,1,1,1,1,-1,X
198096,0,-1,1,1,-1,1,-1,1,0,-1,1,-1
198176,1,0,1,1,-1,1,-1,1,0,1,-1,-1
198183,1,1,X,X,X,-1,1,-1,1,0,-1,X
198329,1,1,-1,-1,1,-1,1,X,1,-1,1,-1
5392,1,1,-1,-1,1,X,X,X,X,-1,-1,1
198490,1,X,1,1,-1,1,-1,X,1,1,-1,-1
199941,1,X,-1,-1,1,-1,1,-1,1,-1,1,1
199996,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
202036,,-1,1,1,-1,-1,1,1,1,1,-1,-1
202073,,1,-1,-1,1,-1,1,-1,X,-1,-1,1
202112,,-1,1,1,-1,-1,1,1,1,-1,-1,-1
202351,X,X,X,X,X,-1,1,-1,1,X,X,X
202352,X,X,X,X,X,-1,1,-1,1,1,-1,X
204331,,,,,,,,,,,,
204332,,,-1,-1,1,-1,1,-1,1,-1,-1,1
204333,,,1,1,-1,-1,-1,1,1,X,X,X
204334,,,1,1,-1,1,-1,1,1,-1,1,X
204335,,,-1,-1,1,-1,1,-1,X,1,1,X
204336,,,1,1,-1,-1,1,1,1,1,-1,X
204346,,,1,1,-1,1,X,1,0,1,-1,-1
204368,,,1,1,-1,-1,-1,X,1,0,-1,X
204371,,,,,,,,,,,,
204400,,,-1,-1,1,-1,1,X,X,-1,-1,X
204413,,,-1,-1,1,-1,1,-1,1,-1,1,-1
204414,,,1,1,-1,1,-1,1,0,-1,1,-1
204416,,,-1,-1,1,-1,1,-1,X,X,X,-1
204418,,,-1,-1,1,-1,1,-1,1,-1,-1,1
204419,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
204420,,,-1,-1,1,-1,1,-1,1,1,-1,1
204421,,,1,1,-1,1,1,1,1,-1,1,-1
204443,,,-1,-1,1,-1,1,-1,1,1,-1,X
204449,,,1,1,-1,1,-1,1,-1,-1,-1,-1
204733,,,1,1,-1,1,-1,X,-1,1,-1,1
205452,,,0,0,1,-1,1,-1,1,0,0,-1
206158,,,-1,-1,1,-1,1,X,1,1,-1,1
208722,,,-1,-1,1,-1,1,-1,1,1,-1,1
209091,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
209140,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
209896,,,-1,-1,1,-1,1,X,1,-1,-1,-1
212855,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
213330,,,1,1,-1,1,-1,1,1,0,-1,X
214839,,,-1,-1,1,-1,1,1,X,-1,-1,-1
218347,,,-1,-1,1,-1,1,X,1,-1,-1,1
218349,,,1,1,-1,1,-1,1,0,-1,1,-1
221463,,,1,1,-1,X,-1,1,0,1,-1,-1
226260,,,1,1,-1,-1,1,1,1,-1,-1,-1
228286,,,-1,-1,1,X,X,X,1,-1,-1,1
228604,,,-1,-1,1,X,X,X,1,-1,1,-1
229352,,,-1,-1,1,X,1,-1,1,1,-1,
229519,,,1,1,-1,-1,1,1,1,X,X,-1
229839,,,-1,-1,1,-1,1,X,1,-1,-1,1
230085,,,-1,-1,1,-1,1,-1,1,-1,-1,X
233862,,,-1,-1,1,-1,1,-1,X,-1,-1,-1
234344,,,-1,-1,1,1,1,-1,1,-1,-1,-1
236050,,,1,1,-1,1,1,1,1,-1,1,-1
236051,,,1,1,-1,1,1,1,1,-1,1,X
236052,,,1,1,-1,1,1,1,1,-1,1,-1
236053,,,-1,-1,1,-1,1,-1,1,1,-1,1
237224,,,X,X,X,-1,1,-1,1,-1,-1,1
237320,,,-1,-1,1,-1,X,-1,1,-1,-1,-1
237465,,,-1,-1,1,-1,1,-1,X,-1,-1,1
237779,,,-1,-1,1,-1,1,-1,1,-1,1,-1
238639,,,1,1,-1,1,-1,1,-1,-1,1,-1
238674,,,-1,-1,1,X,X,X,1,1,-1,1
239255,,,1,1,-1,1,0,1,1,-1,-1,-1
239256,,,1,1,-1,1,0,1,1,-1,1,-1
239257,,,-1,-1,1,-1,1,-1,1,-1,0,-1
239258,,,-1,-1,1,-1,1,-1,X,1,-1,X
239260,,,1,1,-1,1,-1,1,1,-1,1,-1
239262,,,,,,1,-1,1,1,-1,1,X
239271,,,1,1,-1,-1,1,X,1,-1,-1,X
239972,,,1,1,1,-1,1,-1,1,-1,-1,-1
239973,,,-1,-1,1,-1,1,-1,1,-1,-1,X
240478,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
243912,,,1,1,-1,1,0,1,1,X,X,-1
243979,,,1,1,-1,-1,1,1,1,-1,-1,-1
244571,,,-1,-1,1,-1,1,-1,1,-1,-1,-1
245018,,,-1,-1,1,-1,1,-1,1,-1,-1,1
245858,,,-1,-1,1,-1,1,X,1,-1,-1,-1
247122,,,,,,-1,1,-1,1,-1,-1,-1
247709,,,,,,-1,1,-1,1,-1,-1,0
247735,,,,,,-1,1,-1,1,-1,1,-1
247737,,,,,,-1,1,1,1,-1,-1,-1
249284,,,,,,-1,-1,1,1,-1,-1,-1
249285,,,,,,-1,1,-1,1,X,X,1
249443,,,,,,X,X,X,1,0,-1,-1
249603,,,,,,-1,1,1,1,-1,-1,-1
249826,,,,,,-1,1,-1,1,X,X,1
250235,,,,,,-1,1,1,1,-1,-1,-1
250237,,,,,,X,X,X,1,-1,-1,-1
250538,,,,,,,,,0,1,-1,X
250572,,,,,,,,,X,X,X,0
250918,,,,,,,,,1,1,1,1
251249,,,,,,,,,,1,-1,0
251268,,,,,,,,,,-1,-1,-1
251324,,,,,,,,,,-1,-1,-1
251859,,,,,,,,,,-1,-1,-1
251874,,,,,,,,,,-1,-1,-1
253008,,,,,,,,,,,,-1
253043,,,,,,,,,,,,-1
232843,,,,,,,,,,,,1
254718,,,,,,,,,,,,1
254719,,,,,,,,,,,,-1
254720,,,,,,,,,,,,-1
254721,,,,,,,,,,,,-1
254722,,,,,,,,,,,,-1
254876,,,,,,,,,,,,-1
